ReducedComplementCBA:
Count: 261
feasibleCBA | complement | reduced complement
0011011101111000000110100111100 | 1100100010000111111001011000011 | 1100100010000111111001011000011
0000011101111010010110100111100 | 1111100010000101101001011000011 | 1111100010000101101001011000011
0000111010110000111011100111100 | 1111000101001111000100011000011 | 1111000101001111000100011000011
0010111001101110010010010111100 | 1101000110010001101101101000011 | 1101000110010000001101101000001
0010111000101110110010110111100 | 1101000111010001001101001000011 | 1101000111000000001101001000000
1110000001000111000100011111100 | 0001111110111000111011100000011 | 0001111110111000111011100000011
0001111110111000111011100000010 | 1110000001000111000100011111101 | 1110000001000111000100011111101
1110000001000111000100010000010 | 0001111110111000111011101111101 | 0001111110111000111011101111101
1111001001000001010110010000010 | 0000110110111110101001101111101 | 0000110110111110101001101111101
1111000101001111000100011000010 | 0000111010110000111011100111101 | 0000111010110000111011100111101
1100100010000111111001011000010 | 0011011101111000000110100111101 | 0011011101111000000110100111101
0010111001101111010011001100010 | 1101000110010000101100110011101 | 1101000110010000001100000010001
1111001001000001100000011100010 | 0000110110111110011111100011101 | 0000110110111110011111100011101
0010111000101111010011011100010 | 1101000111010000101100100011101 | 1101000111010000001100100010001
1111000101000111001000110010010 | 0000111010111000110111001101101 | 0000111010111000110110001101101
1100100010000111110100110010010 | 0011011101111000001011001101101 | 0011011101111000001011001101101
0010111011101110010100100110010 | 1101000100010001101011011001101 | 1101000100010001101011011001101
0000011101111011111010100110010 | 1111100010000100000101011001101 | 1111100010000100000101011001001
0010110111011110010010010110010 | 1101001000100001101101101001101 | 1101001000100001101101101001101
0000110110011110101111011110010 | 1111001001100001010000100001101 | 1111001001000001010000100000100
1100100010000111000010111110010 | 0011011101111000111101000001101 | 0011011101111000111101000001101
1100110000000000001010111110010 | 0011001111111111110101000001101 | 0011001111111111110101000001101
0000000000000001101010111110010 | 1111111111111110010101000001101 | 1111111111111110010101000001101
0000111010110001101010111110010 | 1111000101001110010101000001101 | 1111000101001110010101000000001
1100100010000111000100000001010 | 0011011101111000111011111110101 | 0011011101111000111011111110101
1100100010000111100100000001010 | 0011011101111000011011111110101 | 0011011101111000001011011010101
1100110000000000001100000001010 | 0011001111111111110011111110101 | 0011001111111111110011111110101
0000000000000001101100000001010 | 1111111111111110010011111110101 | 1111111111111110010011111110101
1100110000000001101100000001010 | 0011001111111110010011111110101 | 0011001111111110010010011010001
1111111111111110010011100001010 | 0000000000000001101100011110101 | 0000000000000001101100001110100
0111101111111101010011100001010 | 1000010000000010101100011110101 | 1000010000000010101100001110101
0011001111111101110011100001010 | 1100110000000010001100011110101 | 1100110000000000001100001110100
0011011101111000111011100001010 | 1100100010000111000100011110101 | 1100100010000111000100001110101
1110000001000111111001001001010 | 0001111110111000000110110110101 | 0001111110111000000110110110101
1111001001000001101011001001010 | 0000110110111110010100110110101 | 0000110110111110010100110110101
0010111001101111101100010101010 | 1101000110010000010011101010101 | 1101000110010000000001101010001
0000010100011110011111101101010 | 1111101011100001100000010010101 | 1111101011100001100000010010101
0011011101111000001101111101010 | 1100100010000111110010000010101 | 1100100010000111110010000010101
0000011101111010011101111101010 | 1111100010000101100010000010101 | 1111100010000101100010000010101
1101000110010101101000000011010 | 0010111001101010010111111100101 | 0010111001101010010110111100101
1111101000010011000110000011010 | 0000010111101100111001111100101 | 0000010111101100111001111100101
1101000111011001100001000011010 | 0010111000100110011110111100101 | 0010111000100110010110111100101
0010111001101010011111100011010 | 1101000110010101100000011100101 | 1101000100010001100000001100101
1101001000011111000100000111010 | 0010110111100000111011111000101 | 0010110111100000111011111000101
0000111010110000111101010111010 | 1111000101001111000010101000101 | 1111000101001111000010101000101
0111101111111100111001000000110 | 1000010000000011000110111111001 | 1000010000000011000110111111001
0010111001101011110001101000110 | 1101000110010100001110010111001 | 1101000110010100001100000010001
1111101000010010100001011000110 | 0000010111101101011110100111001 | 0000010111101101011110100111001
0010111000100110110010111100110 | 1101000111011001001101000011001 | 1101000111011000001101000010001
0010111011101111110101000010110 | 1101000100010000001010111101001 | 1101000100010000001010111101001
1100100010000110100011011010110 | 0011011101111001011100100101001 | 0011011101111001011100100101001
1100110000000001101011011010110 | 0011001111111110010100100101001 | 0011001111111110010100100101001
0111101111111100000010100110110 | 1000010000000011111101011001001 | 1000010000000011111101011001001
0011001111111110100010100110110 | 1100110000000001011101011001001 | 1100110000000001011101011001000
0000001111111100110010100110110 | 1111110000000011001101011001001 | 1111110000000011001101011001001
1111110000000000001101010110110 | 0000001111111111110010101001001 | 0000001111111110110010101001001
1100110000000001011101010110110 | 0011001111111110100010101001001 | 0011001111111110100010101001001
0000000000000001111101010110110 | 1111111111111110000010101001001 | 0111101111111100000010101001001
0010111011101111000011001110110 | 1101000100010000111100110001001 | 1101000100010000111100110001001
0011001111111110010010010101110 | 1100110000000001101101101010001 | 1100110000000001101101101010000
0000011101111011001010010101110 | 1111100010000100110101101010001 | 1111100010000100110101101010001
