ReducedComplementCBA:
Count: 170
csEqCBA | complement | reduced complement
1101001000011111000100001000100 | 0010110111100000111011110111011 | 0010110111100000111011110111011
1111000101001111000010101000100 | 0000111010110000111101010111011 | 0000111010110000111101010111011
1111101000010011000110001100100 | 0000010111101100111001110011011 | 0000010111101100111001110011011
0010111001101110010100111100100 | 1101000110010001101011000011011 | 1101000110010001100000000011011
1111101010000001110000000010100 | 0000010101111110001111111101011 | 0000010101101011110001110011011
1111101010000001101010000010100 | 0000010101111110010101111101011 | 1111101010100000110001010101001
1100110000000001111010000010100 | 0011001111111110000101111101011 | 0011001111111100000100111101001
0011011101111000001011011010100 | 1100100010000111110100100101011 | 1100100010000111100100000001011
1100110000000000001100001110100 | 0011001111111111110011110001011 | 0011001111111111110011110001011
0000000000000001101100001110100 | 1111111111111110010011110001011 | 1111111111111110010011110001011
1111101010000001010110001110100 | 0000010101111110101001110001011 | 1111101010100001010110000001011
0000000000000001111110001110100 | 1111111111111110000001110001011 | 0011001111111110010010011010001
0011011101111000111011111110100 | 1100100010000111000100000001011 | 1100100010000111000100000001011
1111111111111110010101000001100 | 0000000000000001101010111110011 | 0000000000000001101010111110010
0111101111111101010101000001100 | 1000010000000010101010111110011 | 1000010000000010101010111110011
0011001111111111110101000001100 | 1100110000000000001010111110011 | 1100110000000000001010111110010
0011011101111000111101000001100 | 1100100010000111000010111110011 | 1100100010000111000010111110011
0011011101111001101100011001100 | 1100100010000110010011100110011 | 1100100010000110010011100110001
0000000000000001111111111001100 | 1111111111111110000000000110011 | 1101000111011100001000101000001
0011011101111000001011001101100 | 1100100010000111110100110010011 | 1100100010000111110100110010011
0000011101111010011011001101100 | 1111100010000101100100110010011 | 1111100010000101100100110010011
0010111001101110010100101011100 | 1101000110010001101011010100011 | 1100110000000001011101011001000
0011011101111000000110100111100 | 1100100010000111111001011000011 | 1100100010000111111001011000011
0000011101111010010110100111100 | 1111100010000101101001011000011 | 1111100010000101101001011000011
0010111001101110010010010111100 | 1101000110010001101101101000011 | 1101000110010000001101101000001
1111000101001111000100011000010 | 0000111010110000111011100111101 | 0000111010110000111011100111101
0000011101111011111010100110010 | 1111100010000100000101011001101 | 1111100010000100000101011001001
1100110000000000001010111110010 | 0011001111111111110101000001101 | 0011001111111111110101000001101
0000000000000001101010111110010 | 1111111111111110010101000001101 | 1111111111111110010101000001101
1100110000000000001100000001010 | 0011001111111111110011111110101 | 0011001111111111110011111110101
0000000000000001101100000001010 | 1111111111111110010011111110101 | 1111111111111110010011111110101
1111101010000001010110000001010 | 0000010101111110101001111110101 | 1111101010000001010110001110100
0000011101111010011101111101010 | 1111100010000101100010000010101 | 1111100010000101100010000010101
1101000110010101101000000011010 | 0010111001101010010111111100101 | 0010111001101010010110111100101
1111101000010011000110000011010 | 0000010111101100111001111100101 | 0000010111101100111001111100101
1101001000011111000100000111010 | 0010110111100000111011111000101 | 0010110111100000111011111000101
0111101111111100111001000000110 | 1000010000000011000110111111001 | 1000010000000011000110111111001
1111101000010010100001011000110 | 0000010111101101011110100111001 | 0000010111101101011110100111001
1100110000000001101011011010110 | 0011001111111110010100100101001 | 0011001111111110010100100101001
0000001111111100110010100110110 | 1111110000000011001101011001001 | 1111110000000011001101011001001
1111110000000000001101010110110 | 0000001111111111110010101001001 | 1101001000011111000100000111010
1100110000000001011101010110110 | 0011001111111110100010101001001 | 0011001111111110100010101001001
0000000000000001111101010110110 | 1111111111111110000010101001001 | 0111101111111100000010101001001
1100110000000001011111010110110 | 0011001111111110100000101001001 | 1111101000010010101010000010001
1100110000000000001111011110110 | 0011001111111111110000100001001 | 1101000110010100001001101000001
0000000000000001111111101001110 | 1111111111111110000000010110001 | 1111000101001110010101000000001
0000011101111011001010010101110 | 1111100010000100110101101010001 | 1111100010000100110101101010001
1100110000000001011110000011110 | 0011001111111110100001111100001 | 1111101010010100000011100110001
0000011101111011110001110011110 | 1111100010000100001110001100001 | 1111100010000100001110001100001
0000001111111100111001110011110 | 1111110000000011000110001100001 | 1111110000000011000110001100001
